publicationDocumentIdentifier,publicationDate,inventionTitle,abstractText
US20120277201A1,11-01-2012,Use of hydroxyprogesterone derivatives for enhancing health and physical performance,"A method for the use of derivatives of hydroxyprogesterone (17-alpha-hydroxypregn-4-ene-3,20-dione) to enhance health and physical performance in humans and more particularly to the use of hydroxyprogesterone derivatives for restoring renal hormonal balance, decreasing body weight, reducing adipose tissue, increasing endurance, promoting skeletal muscle growth, boosting androgen levels, inhibiting aromatase, and increasing cognitive function."
US20120321731A1,12-20-2012,PHARMACEUTICAL COMPOSITION FOR TREATING DIABETES,"The present invention provides a pharmaceutical composition for treating diabetes comprising Ramulus Cinnamomi, Radix et Rhizoma Rhei, Semen Persicae, Radix Rhizoma Glycyrrhizae, and Cordyceps. The use of the composition for the manufacture of a medicament for treating type II diabetes is also provided."
US20130046714A1,02-21-2013,Evaluating the health status of a system,A method and apparatus for determining a health of the system. Groups of vibration data are identified for the system. A group of vibration data in the groups of vibration data comprises data for vibrations of the system at different frequencies over time. The groups of vibration data for the system are stored in a number of associative memories in a computer system. The health of the system is identified based on the groups of vibration data in the number of associative memories.
US20130066653A1,03-14-2013,Apparatus and method for linking a pacemaker or a defibrillator to an electronic healthcare record,"A computer-implemented method, including accessing, with a communication device, a computer in which is stored a healthcare record, or a medical record, of, for, or regarding, an individual or a patient, accessing, with the communication device, the healthcare record or the medical record of, for, or regarding, the individual or the patient, accessing or linking to a pacemaker, a pacemaker monitor, a defibrillator, or a defibrillator monitor, of or associated with the individual or the patient, with or using the communication device, and performing, via, with, or using, the communication device, a control, a monitoring, a diagnostic, a programming, a re-programming, a repair, a calibration, a setting, or a re-setting, action, operation, or function, on, regarding, or relating to, the pacemaker, the pacemaker monitor, the defibrillator, or the defibrillator monitor."
US20130085758A1,04-04-2013,Telecare and/or telehealth communication method and system,"A telecare and/or telehealth communication method is described. The method comprises providing predetermined voice messages configured to ask questions to or to give instructions to an assisted individual, providing an algorithm configured to communicate with the assisted individual, and communicating at least one of the predetermined voice messages configured to ask questions to or to give instructions to the assisted individual. The method further comprises analyzing a responsiveness and/or compliance characteristics of the assisted individual, and providing the assisted individual with voice messages in a form most acceptable and effective for the assisted individual on the basis of the analyzed responsiveness and/or the analyzed compliance characteristics."
US20130103411A1,04-25-2013,Systems and methods for reducing healthcare transaction costs,"A centralized network can be established by contracting medical facilities and insurance providers, in which the medical facilities agree to waive all or a portion of a deductible amount owed as part of their contractual obligation with the network. The insurance providers agree to provide a credit of the premium to be paid by beneficiaries that use a contracted medical facility to receive a service for which the deductible amount is waived. Specific uses of the systems and methods disclosed can include management of a Medicare supplemental insurance network in which Part A deductibles are waived by hospitals or similar medical facilities, and premium credits are provided to beneficiaries of Medicare supplemental insurance policies who use contracted medical facilities. The cost savings and increased revenue recognized by both medical facilities and insurance providers can enable claims to be repriced while reducing transactional costs for all parties."
US20130110531A1,05-02-2013,Method for reducing healthcare costs,"A method of increasing the endocrine health of users comprising an awareness of recent scientific discoveries, training in the basic science, introduction of products which implements the science, a personal coaching system to ensure the user understands and is experiencing the benefits of this system and a feedback mechanism to adjust the implementation of the system disclosed herein for optimum results."
US20130115335A1,05-09-2013,"Preparation method of weakly basic, ionized, mineralization and healthy drinking water","Disclosed is a preparation method of weakly basic, ionized, mineralized and healthy drinking water including purifying the tap water by precipitation, filtration and other conventional methods to obtain clean water; and getting the said clean water through reverse osmosis (RO) membrane to obtain RO pure water; heating the said RO pure water to 35-100 degrees celsius by magnetic oscillation or by heating, and then making the RO pure water through weak alkaline, ionized, and mineralization composition, and then filtering the RO pure water by coconut carbon cartridge and PP cotton filter element in turn. The water prepared by the method of the present invention is beneficial to the health of human body and suitable for long-term consumption."
US20130123370A1,05-16-2013,Compositions and methods for treating Alzheimer's disease and related disorders and promoting a healthy nervous system,"Methods of inhibiting the onset and progression of Alzheimer's disease (AD), mild cognitive impairment (MCI), and related neurodegenerative disorders involving amyloidosis are provided. The methods involve administering a composition comprising a therapeutically effective amount of D-pinitol to individuals who are at risk of developing the disease or have one or more symptoms of the disease. Also provided are methods of treating or preventing Alzheimer's disease or MCI that involve the use of such compositions. Also provided are methods of using D-pinitol to promote a healthy nervous system and as a food supplement."
US20130138447A1,05-30-2013,Genetic based health management apparatus and methods,"Apparatus and methods are devised and provided to receive genetic material from a human test subject and further to characterize that genetic material into an electronic representation of a genome. In particular, with respect to many genetic features which relate to diet, nutrition and exercise with a view to weight control. Based upon the presence of certain genetic features, genetic markers or polymorphisms, a rules based logic path is executed to arrive at a action plan set of recommendations. These recommendations relate to lifestyle actions which may be taken up by a person and these actions thus relate to that person's particular genetic composition. These apparatus and methods produce an easy-to-consume visual presentation describing genetic based traits and conditions, the personal status of a test subject as it relates to these genetic dependent traits and conditions, and possible lifestyle actions which may be performed by the user."
US20130173293A1,07-04-2013,Evidence-based healthcare information management protocols,"Structures and protocols are presented for signaling a decision (processing or transmitting a medical record or other resource, e.g.) conditionally, at least partly based on one or more performance indicia (excess hospital readmissions, e.g.) or therapeutic determinants (prior success, e.g.) or privacy considerations (patient consent, e.g.)."
US20130173294A1,07-04-2013,Evidence-based healthcare information management protocols,"Structures and protocols are presented for signaling a decision (processing or transmitting a medical record or other resource, e.g.) conditionally, at least partly based on one or more performance indicia (excess hospital readmissions, e.g.) or therapeutic determinants (prior success, e.g.) or privacy considerations (patient consent, e.g.)."
US20130173295A1,07-04-2013,Evidence-based healthcare information management protocols,"Structures and protocols are presented for signaling a decision (processing or transmitting a medical record or other resource, e.g.) conditionally, at least partly based on one or more performance indicia (excess hospital readmissions, e.g.) or therapeutic determinants (prior success, e.g.) or privacy considerations (patient consent, e.g.)."
US20130173296A1,07-04-2013,Evidence-based healthcare information management protocols,"Structures and protocols are presented for signaling a decision (processing or transmitting a medical record or other resource, e.g.) conditionally, at least partly based on one or more performance indicia (excess hospital readmissions, e.g.) or therapeutic determinants (prior success, e.g.) or privacy considerations (patient consent, e.g.)."
US20130173297A1,07-04-2013,Evidence-based healthcare information management protocols,"Structures and protocols are presented for signaling a decision (processing or transmitting a medical record or other resource, e.g.) conditionally, at least partly based on one or more performance indicia (excess hospital readmissions, e.g.) or therapeutic determinants (prior success, e.g.) or privacy considerations (patient consent, e.g.)."
US20130173298A1,07-04-2013,Evidence-based healthcare information management protocols,"Structures and protocols are presented for signaling a decision (processing or transmitting a medical record or other resource, e.g.) conditionally, at least partly based on one or more performance indicia (excess hospital readmissions, e.g.) or therapeutic determinants (prior success, e.g.) or privacy considerations (patient consent, e.g.)."
US20130197369A1,08-01-2013,Remote health monitoring and tracking system,"This utility model patent makes public a remote health monitoring and tracking system. The system includes the product and the service end. The product includes wireless communication module(), physiology sensor(), physiological signal processing circuit() and microprocessor(). Among these, () connects (), () connects (), and () connects (). The service end includes server that can connect to Internet. The database, map software and physiological data analysis software are installed on the server. The wireless communication module, with integrated GPSone technology and embedded TCP/IP, connects to the server through TCP/IP. Compared with the current technologies, this utility model is easier to use, and can monitor and track the health conditions of users remotely. Any abnormal situation happens to the users, their families and emergency center will be noted. Besides, it has GPSone function; the stored physiological data can be used as reference for medical professionals."
US20130236519A1,09-12-2013,Oral health care material and teeth cleaning agent composition,"An oral health care material and a teeth cleaning agent composition are disclosed. The oral health care material is made of zinc oxide grains, where each is selected from the group consisting of zinc oxide crystalline nanograins, zinc oxide nanorods, zinc oxide hollow fibers, and a mixture thereof, wherein the diameter of each of the zinc oxide crystalline nanograins is 25 nm-200 nm, the cross-sectional diameter of each of the zinc oxide nanorods is 50 nm-1000 nm, the cross-sectional diameter of each of the zinc oxide hollow fibers is 500 nm-3 μm and its nanograin size is 20 nm-100 nm."
US20130281418A1,10-24-2013,Use of hydroxypregnenolone derivatives for enhancing health and physical performance,"A method for the use of derivatives of hydroxypregnenolone (3-beta,17-alpha-dihydroxypregn-5-en-3-one) to enhance health and physical performance in humans and more particularly to the use of hydroxypregnenolone derivatives for restoring renal hormonal balance, decreasing body weight, reducing adipose tissue, increasing endurance, promoting skeletal muscle growth, boosting androgen levels, inhibiting aromatase, and increasing cognitive function."
US20130304485A1,11-14-2013,Method of referring patients to healthcare providers,"A method of referring patients to healthcare providers may drastically reduce the inefficiencies of current referral systems and may enable healthcare providers to focus more time, energy, and financial resources on patient care. In one embodiment, an ill patient may be referred to a hospital using a direct admit system for hospitals (“DASH”) that streamlines the hospital admission process for ill patients being assessed by clinicians in outpatient or inpatient medical facilities. In another embodiment, a direct online contact system for healthcare providers (“DOC-Connect”) may streamline communication between clinicians and various healthcare facilities and services. DOC-Connect may provide a method for ensuring efficient and appropriate transmittal and scheduling of referrals and services requiring further care by directly connecting a clinician or other healthcare provider acting as a healthcare referral initiator with another healthcare provider acting as a healthcare referral recipient using a central management system."
US20130304618A1,11-14-2013,"Method, apparatus and system for financial planning incorporating calculated health costs based on actual claims & the actual cost thereof",A financial management tool that includes calculated health care costs and health-based longevity to provide information to retirees to be able to calculate the amount of money that needs to be saved to cover retirement expenditures is provided with actual claims and actual related cost data from a database to increase the cost projection reliability of the tool.
US20130331993A1,12-12-2013,Ergonomic computer workstation to improve or maintain health,"Workstation methods are described which assure that healthy human motions are undertaken while a user is performing tasks over an extended period, as is typical of working on a computer or assembling parts. The workstation includes powered components that are used to change the user's position with time. Biosensors are used to record the physiological state of the users as well as the duration, extent and intensity of user activity. Mechanical sensors are used to measure the position, strain, and acceleration of the workstation joints. Pressure grids are used to measure the contact forces between the user and the workstation. Remote sensors are used to determine user position, and to interpret user gestures. User profiles are maintained that include health history, injuries, fitness goals and physical limitations. A central processing unit uses sensor data and the user's profile to calculate healthy workstation motion routines."
US20130332186A1,12-12-2013,METHODS AND APPARATUS FOR HEALTHCARE PAYMENT PROCESSING,"Methods and apparatus for facilitating a payment collection process by enabling a patient to pre-authorize payment for future medical services not covered by the patient's healthcare payer. Rather than sending a statement to a patient instructing the payment to remit an outstanding balance, a practice management system automatically applies electronic funds for the patient's outstanding balance in accordance with terms of a contract executed between the patient and the medical practice at the time of service. By including contract terms such as a predefined maximum charge amount and limited contract duration, patients may feel that their electronic account information is safe and that they will be billed only for what they owe. Additionally, medical practices may have better assurance that remittance for medical services will be paid promptly by patients under the terms of the contract."
US20130334851A1,12-19-2013,KIOSK WITH SEAT ASSEMBLY,A kiosk may include a main body with a front surface and a seat assembly located near the main body adjacent to the front surface of the main body.
US20140073880A1,03-13-2014,"Devices, Methods and Systems for Acquiring Medical Diagnostic Information and Provision of Telehealth Services","The invention relates generally to various systems, tools and methods for acquiring diagnostic information, including medical information, for a user, transmitting the information to a remote location, assessing the information, and transmitting resulting diagnosis and treatment information to the user and/or a third party for subsequent action. The present invention provides consumer and user-friendly telemedicine systems and procedures which enable health services and/or diagnosis to be provided at a distance remotely."
US20140100862A1,04-10-2014,System and method for real time adjudication and payment of health care claims,"A method of claims adjudication which includes the steps of a service provider submitting a claim online at an adjudicators website. The service provider inputting data required by online prompts. Real time online analysis and adjudication of input data and claim to determine if claim meets the adjudicator's preselected criteria. If the claim is accepted, a payment will issue, otherwise if the claim is denied the user is notified of the denial. The method further includes the step of issuing a credit/insurance card to a user wherein the credit/insurance card is adapted to receive payment at a point of sale terminal."
US20140108043A1,04-17-2014,CONFIGURABLE HEALTH HISTORY FORM BUILDER,"Methods and apparatus for providing customized health history forms for use with a practice management system. The practice management system provides a user interface that enables a user at a medical practice to configure a health history form template. The user at the medical practice provides configuration input via the user interface to produce a configured health history form template, which is stored by the practice management system. A customized health history form may be generated based on the configured health history form template in response to a patient scheduling an appointment of a particular appointment type at the medical practice. The customized health history form may be provided to the patient."
US20140109239A1,04-17-2014,Collaborative cloud-based sharing of medical imaging studies with or without automated removal of protected health information,"The present invention teaches a method wherein medical imaging studies are transformed from Identifiable Imaging Studies into Cleared Imaging Studies that can be legally and securely shared, either by automated removal of protected health information (PHI) or by verification that the studies belong to a Patient or Patient's Legal Representative and that a valid effective waiver, such as a HIPAA Waiver, is on file. Cleared Imaging Studies are shared by cloud-based storage and transmission to one or more Third Parties using one or more network-enabled devices. Methods are also provided for one or more users of network-enabled devices to view medical imaging studies simultaneously, with caching of imaging studies in local devices and separation of additional data streams used for collaborative image viewing to ensure that medical images are not degraded."
US20140136233A1,05-15-2014,"Managing Personal Health Record Information about Doctor-Patient Communication, Care interactions, health metrics ,customer vendor relationship management platforms, and personal health history in a GLOBAL PERSONAL HEALTH RECORD TIMELINE integrated within an (ERP/EMRSE) ENTERPRISE RESOURCE PLANNING ELECTRONIC MEDICAL RECORD SOFTWARE ENVIRONMENT localized medical data ecosystem","The invention discloses a system, method and computer program for generating a Global Personal Health Record Timeline (GPHRT) is provided. A plurality of data items and information points associated with at least one relationship between users associated with a single patient, healthcare provider, a group of healthcare providers. Ordered data items are stored in a personal health record, transmitted and shared via a plurality of storage and transmittal technologies such as, (BLE), barcode scanner, and a plurality of other storage and transmittal technologies that will interface with the Global Personal Health Record Timeline platform. These aforementioned embodiments would further be integrated into an Enterprise Resource Planning Electronic Medical Records Software Environment (ERP/EMRSE) which would interface with a Database Repository with a web-based Global Patient Health Record Timeline interface portal, security interface, Customer Resource Management platform, Practice Management platform, e-commerce interface, “HIPPA” compliant security filter."
US20140162598A1,06-12-2014,"Customer-controlled instant-response anti-fraud/anti-identity theft devices (with true- personal identity verification), method and systems for secured global applications in personal/business e-banking, e-commerce, e-medical/health insurance checker, e-education/research/invention, e-disaster advisor, e-immigration, e-airport/aircraft security, e-military/e-law enforcement, with or without NFC component and system, with cellular/satellite phone/internet/multi-media functions","All-in-one wireless mobile telecommunication devices, methods and systems providing greater customer-control, instant-response anti-fraud/anti-identity theft protections with instant alarm, messaging and secured true-personal identity verifications for numerous registered customers/users, with biometrics and PIN security, operating with manual, touch-screen and/or voice-controlled commands, achieving secured rapid personal/business e-banking, e-commerce, accurate transactional monetary control and management, having interactive audio-visual alarm/reminder preventing fraudulent usage of legitimate physical and/or virtual credit/debit cards, with cheques anti-forgery means, curtailing medical/health/insurance frauds/identity thefts, having integrated cellular and/or satellite telephonic/internet and multi-media means, equipped with language translations, GPS navigation with transactions tagging, currency converters, with or without NFC components, minimizing potential airport risks/mishaps, providing instant aid against school bullying, kidnapping, car-napping and other crimes, applicable for secured military/immigration/law enforcements, providing guided warning/rescue during emergencies and disasters."
US20140164650A1,06-12-2014,"System, method and computer program product for monitoring and alerting the health of sub-system connectors",An information handling system that monitors and tracks the connectivity status of physical sub-system connectors in the field while the system is in a user-operational mode and provides alerts when connectivity problems are detected.
